bid,ask,spread,time
,,,
20.2725,3.4561,16.8164,1659983166.698262
23.434,1.1116,22.322400000000002,1659983168.484825
7.532,12.7513,-5.2193000000000005,1659983170.3014808
6.3321,12.9484,-6.6163,1659983172.0775414
7.5373,11.9476,-4.410299999999999,1659983173.6772807
23.3095,2.7533,20.5562,1659983175.2424269
15.842,10.3345,5.5075,1659983176.781179
4.3138,15.0477,-10.733900000000002,1659983178.336062
3.0348,15.9621,-12.927299999999999,1659983179.9941545
0.2773,15.5768,-15.2995,1659983181.632202
0.0578,24.6641,-24.6063,1659983183.4961317
3.0545,22.3954,-19.340899999999998,1659983185.1057546
1.915,17.7925,-15.877500000000001,1659983186.663857
2.6891,23.6863,-20.9972,1659983188.2221832
6.5216,7.7716,-1.25,1659983189.8019469
6.5303,8.7264,-2.1960999999999995,1659983191.3722212
12.851,0.5798,12.2712,1659983193.4756305
34.6575,1.602,33.0555,1659983195.042492
35.2078,2.1309,33.0769,1659983197.1675575
36.3911,4.0253,32.3658,1659983198.742691
36.2688,2.4124,33.8564,1659983200.3153331
3.7132,11.4115,-7.6983,1659983201.8903086
3.2169,20.8277,-17.6108,1659983203.5059702
15.6632,4.4789,11.1843,1659983205.1436627
32.2255,0.6471,31.578399999999995,1659983207.2869523
19.1166,4.0358,15.080799999999998,1659983208.8735812
15.3771,4.8384,10.5387,1659983210.4246414
14.7107,2.0681,12.6426,1659983212.025272
33.5844,0.6326,32.951800000000006,1659983213.5738084
27.9039,0.4617,27.4422,1659983215.6557317
18.3205,3.622,14.6985,1659983217.2446465
16.9121,7.7426,9.1695,1659983218.7981546
0.0032,7.6651,-7.6619,1659983220.9030204
5.5081,15.5017,-9.9936,1659983222.5146642
12.2077,1.2959,10.911800000000001,1659983224.1207716
12.2583,0.9428,11.3155,1659983225.678729
7.4153,5.5883,1.827,1659983228.0072627
7.0648,9.1688,-2.103999999999999,1659983229.6191733
0.1572,18.0123,-17.8551,1659983231.3786314
0.157,16.6533,-16.4963,1659983232.9505131
0.1568,23.9948,-23.838,1659983235.034763
6.1344,15.6268,-9.4924,1659983236.598333
6.9351,14.9235,-7.9884,1659983238.1825507
6.8828,11.5122,-4.6294,1659983240.459752
24.5479,1.9008,22.6471,1659983242.14923
29.5987,0.0736,29.525100000000002,1659983243.7681267
25.2325,4.1509,21.0816,1659983245.3213296
0.3152,22.9981,-22.6829,1659983247.18123
0.33,24.3051,-23.9751,1659983248.7607691
1.1176,23.4277,-22.310100000000002,1659983250.336231
